number_of_slugs,mean_slug_dry_mass
4,0.00481
2,0.01935
1,0.13123
1,0.08915
1,0.00504
1,0.02356
1,0.04811
1,0.03032
1,0.04247
1,0.02789
3,0.02637
3,0.02813
1,0.05578
1,0.08892
