Type,Year,Location,number_of_slugs,total_slug_dry_mass,mean_slug_dry_mass
Present,2021,CN,4,0.08318,0.020795
Present,2021,CN,11,0.09373,0.008520909
Present,2021,CN,15,0.18332,0.012221333
Present,2021,CN,9,0.08499,0.009443333
Present,2021,CN,3,0.02536,0.008453333
Present,2021,CN,18,0.2969,0.016494444
Present,2021,CN,26,0.15598,0.005999231
Present,2021,CN,2,0.01174,0.00587
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Present,2021,CN,0,0,
Absent,2020,BCA,4,0.01922,0.00481
Absent,2020,BCA,2,0.0387,0.01935
Absent,2020,BCA,1,0.13123,0.13123
Absent,2020,BCA,1,0.08915,0.08915
Absent,2020,BCA,1,0.00504,0.00504
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
